class,risk,usage_count,component,files,duplicate_group,merge_candidates
register-link,HIGH,1,Unknown,styles.css,938bb7c0,"login-link, logout-link, username"
stats-container,HIGH,1,StatsContainer,modal.css,,
stat-item,HIGH,1,StatItem,modal.css,,
user-pill,HIGH,1,Unknown,styles.css,,
progress-stats,HIGH,1,ProgressStats,modal.css,,
stat-value,HIGH,1,StatValue,modal.css,,
stat-label,HIGH,1,StatLabel,modal.css,,
success-stat,LOW,1,SuccessStat,modal.css,fcc8b037,success-icon
warning-stat,LOW,1,WarningStat,modal.css,4202a473,warning-icon
failure-stat,LOW,1,FailureStat,modal.css,52a04d95,error-count
projects-icon,HIGH,1,Unknown,styles.css,3c8b242e,accounts-icon
percentage-stat,LOW,1,PercentageStat,modal.css,,
failures-section,HIGH,1,FailuresSection,modal.css,,
accounts-icon,HIGH,1,Unknown,styles.css,3c8b242e,projects-icon
failure-info,HIGH,1,Unknown,modal.css,,
count,HIGH,1,Unknown,styles.css,,
mapping-destination,LOW,1,Unknown,modal.css,,
mapping-item,HIGH,1,MappingItem,modal.css,,
download-failures-btn,HIGH,1,Button,modal.css,01a2b35d,sub-pane
mappings-list,HIGH,1,MappingsList,modal.css,,
mapping-field-description,HIGH,1,Unknown,modal.css,,
tab-close,HIGH,1,TabClose,tabs.css,,
tab-label,HIGH,1,TabLabel,tabs.css,,
preview-summary-label,HIGH,1,PreviewSummaryLabel,modal.css,,
preview-summary-info,HIGH,1,PreviewSummaryInfo,modal.css,,
preview-note,HIGH,1,PreviewNote,modal.css,,
scroll-btn,HIGH,1,Button,tabs.css,,
tabs-scroller,HIGH,1,TabsScroller,tabs.css,,
tabs-container,HIGH,1,TabsContainer,tabs.css,,
tab-bar-wrapper,HIGH,1,TabBarWrapper,tabs.css,,
import-summary-panel,HIGH,1,ImportSummaryPanel,modal.css,,
username,HIGH,1,Unknown,styles.css,938bb7c0,"register-link, login-link, logout-link"
summary-section,HIGH,1,SummarySection,modal.css,,
summary-details,HIGH,1,SummaryDetails,modal.css,,
summary-item,HIGH,1,SummaryItem,modal.css,,
summary-label,HIGH,1,SummaryLabel,modal.css,,
summary-value,LOW,1,Unknown,modal.css,,
worksheet-list,HIGH,1,WorksheetList,modal.css,,
worksheet-item,HIGH,1,WorksheetItem,modal.css,,
worksheet-header,HIGH,1,WorksheetHeader,modal.css,,
logout-link,HIGH,1,Unknown,styles.css,938bb7c0,"register-link, login-link, username"
failures-grid-container,HIGH,1,FailuresGridContainer,modal.css,,
worksheet-results-section,HIGH,1,WorksheetResultsSection,modal.css,57e800c6,"selected-file-info, progress-bar-container"
progress-percent,LOW,1,ProgressPercent,modal.css,,
start-row,LOW,1,Unknown,modal.css,,
mapped-header,LOW,1,MappedHeader,modal.css,,
row-number-check,HIGH,1,Unknown,modal.css,,
cell-tooltip,HIGH,1,CellTooltip,modal.css,,
ro-grid-legend,HIGH,1,RoGridLegend,modal.css,,
legend-item,HIGH,1,LegendItem,modal.css,,
legend-color,HIGH,1,Unknown,modal.css,,
legend-mapped,LOW,1,Unknown,modal.css,,
